                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.022,                0.65073,                 1.1071,                0.81139,                0.77152,                0.84737,                0.54394,                 1.2236,                0.78399,                 1.2986,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0159,                0.65285,                 1.0798,                0.82782,                0.79484,                0.86318,                 0.5566,                 1.1845,                 0.7759,                 1.2871,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0096,                0.63329,                 1.1077,                0.80859,                0.77446,                0.84874,                0.54917,                 1.1831,                0.82634,                 1.2702,              0.0016535,              0.0016535,              0.0016535
                     38,                0.99367,                0.63035,                 1.0965,                0.79627,                0.79656,                0.85861,                 0.5426,                 1.1912,                0.81016,                 1.2866,              0.0016436,              0.0016436,              0.0016436
                     39,                0.97813,                0.61642,                 1.0832,                0.78682,                0.80299,                 0.8499,                0.56765,                 1.1431,                0.78181,                 1.2464,              0.0016337,              0.0016337,              0.0016337
                     40,                0.99914,                0.63184,                 1.0858,                0.79184,                0.75272,                0.81149,                0.49496,                 1.2465,                0.90734,                 1.3219,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0046,                0.65259,                 1.0852,                0.78392,                0.74432,                0.82894,                0.52111,                 1.2369,                0.88233,                 1.3101,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0029,                0.64682,                 1.0924,                0.82981,                0.80161,                0.86124,                0.55053,                 1.1823,                0.80218,                 1.2673,               0.001604,               0.001604,               0.001604
                     43,                 1.0285,                0.67268,                 1.0922,                0.82069,                0.78356,                0.85894,                0.55403,                 1.1796,                0.80085,                  1.255,              0.0015941,              0.0015941,              0.0015941
                     44,                0.95812,                0.62584,                  1.057,                0.80758,                0.78691,                0.85464,                0.56554,                 1.1871,                0.78676,                 1.2777,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94408,                0.58996,                 1.0546,                0.80222,                0.73505,                0.81145,                0.50665,                 1.2517,                0.88443,                 1.3364,              0.0015743,              0.0015743,              0.0015743
                     46,                0.92896,                0.57692,                 1.0443,                0.83167,                0.75679,                0.83691,                0.53934,                 1.2138,                0.82248,                 1.3039,              0.0015644,              0.0015644,              0.0015644
                     47,                0.94161,                0.58395,                 1.0506,                0.81145,                   0.75,                0.82156,                0.55429,                 1.1778,                0.83172,                 1.2788,              0.0015545,              0.0015545,              0.0015545
                     48,                0.95365,                0.61042,                 1.0625,                 0.8144,                0.76314,                0.83663,                0.54256,                 1.2181,                 0.8347,                 1.3074,              0.0015446,              0.0015446,              0.0015446
                     49,                0.93852,                0.58913,                 1.0609,                0.81095,                0.80435,                0.86222,                0.56186,                 1.1837,                 0.7787,                 1.2879,              0.0015347,              0.0015347,              0.0015347
                     50,                0.93797,                0.55497,                  1.051,                 0.8316,                0.80517,                0.86048,                0.56726,                 1.1806,                0.75818,                 1.2856,              0.0015248,              0.0015248,              0.0015248
                     51,                 0.9021,                0.54251,                 1.0416,                0.81854,                0.82127,                0.87018,                 0.5658,                  1.177,                0.76028,                 1.2774,              0.0015149,              0.0015149,              0.0015149
                     52,                0.92513,                0.55963,                   1.04,                0.79627,                0.77003,                0.82464,                0.53192,                 1.1756,                0.86962,                 1.2787,               0.001505,               0.001505,               0.001505
                     53,                0.91354,                0.55509,                 1.0416,                0.77786,                0.77551,                0.82126,                0.52428,                 1.2169,                0.85773,                 1.3091,              0.0014951,              0.0014951,              0.0014951
                     54,                0.92931,                0.54287,                 1.0491,                0.78735,                 0.7697,                0.82656,                0.52303,                 1.2066,                0.82432,                  1.305,              0.0014852,              0.0014852,              0.0014852
                     55,                0.89455,                0.54058,                 1.0312,                0.85331,                0.77989,                 0.8676,                0.57507,                 1.1374,                0.76782,                 1.2483,              0.0014753,              0.0014753,              0.0014753
                     56,                0.88659,                0.54565,                  1.034,                0.85866,                0.77717,                0.86408,                0.57377,                 1.1744,                 0.7281,                 1.2771,              0.0014654,              0.0014654,              0.0014654
                     57,                0.91246,                0.52824,                 1.0298,                0.83831,                0.77717,                0.84778,                 0.5447,                 1.2019,                0.79795,                 1.2941,              0.0014555,              0.0014555,              0.0014555
                     58,                0.90605,                0.51876,                  1.038,                0.82575,                0.79196,                0.87439,                0.56565,                 1.2047,                 0.7762,                 1.2903,              0.0014456,              0.0014456,              0.0014456
                     59,                0.90794,                0.52706,                 1.0279,                0.80608,                0.80163,                0.85237,                  0.551,                 1.1952,                0.77751,                 1.2932,              0.0014357,              0.0014357,              0.0014357
                     60,                0.89927,                0.54399,                 1.0414,                0.79057,                0.80299,                0.84467,                0.53598,                 1.2224,                0.80965,                 1.3046,              0.0014258,              0.0014258,              0.0014258
                     61,                 0.8863,                0.51885,                 1.0275,                0.83311,                0.80033,                0.86098,                0.57217,                  1.176,                0.76304,                 1.2836,              0.0014159,              0.0014159,              0.0014159
                     62,                0.88465,                0.51965,                 1.0172,                0.79355,                0.82337,                0.85236,                0.56216,                 1.1673,                0.76413,                 1.2785,               0.001406,               0.001406,               0.001406
                     63,                0.87032,                0.51428,                 1.0148,                0.81092,                0.79831,                0.85034,                0.55389,                 1.1807,                  0.772,                 1.2943,              0.0013961,              0.0013961,              0.0013961
                     64,                0.87839,                0.53016,                 1.0191,                0.84534,                0.78125,                0.86522,                0.55871,                 1.1902,                0.81425,                 1.3031,              0.0013862,              0.0013862,              0.0013862
                     65,                0.85051,                0.51206,                 1.0043,                0.84297,                0.78045,                0.85267,                0.55715,                 1.2211,                 0.7841,                 1.3247,              0.0013763,              0.0013763,              0.0013763
                     66,                0.84894,                0.49229,                0.99859,                 0.8283,                0.78533,                0.84834,                0.55658,                 1.2115,                0.77465,                 1.3304,              0.0013664,              0.0013664,              0.0013664
                     67,                 0.8458,                0.49129,                 1.0193,                0.81162,                0.81658,                0.86609,                0.56526,                 1.1858,                0.75237,                 1.2997,              0.0013565,              0.0013565,              0.0013565
                     68,                  0.837,                0.48116,                 1.0039,                0.85056,                0.77174,                 0.8617,                0.57464,                 1.1976,                0.78048,                 1.3229,              0.0013466,              0.0013466,              0.0013466
                     69,                0.84432,                0.50223,                 1.0002,                0.83965,                0.79348,                0.87567,                0.58346,                 1.1675,                0.74549,                 1.2885,              0.0013367,              0.0013367,              0.0013367
                     70,                0.83612,                0.48077,                0.98959,                0.82868,                0.78125,                0.86193,                0.57131,                 1.1752,                0.77598,                  1.284,              0.0013268,              0.0013268,              0.0013268
                     71,                0.83058,                0.48205,                 1.0048,                 0.8443,                0.79212,                0.86272,                0.56879,                  1.218,                0.77203,                 1.3345,              0.0013169,              0.0013169,              0.0013169
                     72,                0.85259,                 0.5099,                 1.0066,                0.80962,                0.78397,                0.85482,                0.55164,                 1.2087,                0.78991,                  1.325,               0.001307,               0.001307,               0.001307
                     73,                0.82206,                0.48447,                0.99602,                 0.8441,                0.77245,                0.86566,                0.56531,                 1.1831,                0.74088,                 1.3106,              0.0012971,              0.0012971,              0.0012971
                     74,                0.84821,                0.48548,                 1.0048,                0.83789,                0.80059,                0.87104,                0.56594,                 1.1776,                0.76351,                 1.2728,              0.0012872,              0.0012872,              0.0012872
                     75,                0.84173,                 0.4786,                 1.0017,                0.83266,                0.78533,                0.85041,                0.54853,                 1.2365,                0.74953,                 1.3249,              0.0012773,              0.0012773,              0.0012773
                     76,                0.85852,                0.50207,                  1.022,                0.79979,                0.81386,                0.85838,                0.55435,                 1.2362,                 0.7496,                 1.3415,              0.0012674,              0.0012674,              0.0012674
                     77,                0.80396,                 0.4538,                0.98631,                0.80963,                0.80163,                0.84702,                0.55018,                 1.2139,                0.75396,                 1.3085,              0.0012575,              0.0012575,              0.0012575
                     78,                0.83205,                0.46774,                 1.0014,                0.84468,                0.80299,                0.86291,                0.57069,                 1.1843,                 0.7483,                 1.2945,              0.0012476,              0.0012476,              0.0012476
                     79,                0.77636,                0.44459,                0.98076,                0.83386,                0.80027,                0.85315,                 0.5608,                 1.1982,                0.76084,                 1.3139,              0.0012377,              0.0012377,              0.0012377
                     80,                0.79492,                0.46782,                0.98294,                0.83983,                0.80571,                  0.874,                0.57563,                 1.1905,                0.76751,                 1.3043,              0.0012278,              0.0012278,              0.0012278
                     81,                0.81966,                0.45923,                 0.9909,                0.83351,                0.80978,                0.86539,                 0.5697,                 1.1803,                0.77048,                 1.3136,              0.0012179,              0.0012179,              0.0012179
                     82,                0.78992,                0.46388,                0.98428,                0.83732,                0.81822,                0.85786,                0.55967,                 1.1664,                0.74946,                 1.3099,               0.001208,               0.001208,               0.001208
                     83,                0.83314,                0.47606,                0.99421,                 0.8393,                0.77446,                0.82706,                0.54223,                 1.2342,                0.79938,                 1.3472,              0.0011981,              0.0011981,              0.0011981
                     84,                 0.7898,                0.45302,                0.97239,                0.85864,                0.80052,                0.86958,                0.56969,                 1.1921,                 0.7368,                 1.3331,              0.0011882,              0.0011882,              0.0011882
                     85,                0.76987,                0.44079,                0.98179,                   0.83,                0.84244,                0.88758,                0.58749,                 1.1914,                0.70611,                 1.3243,              0.0011783,              0.0011783,              0.0011783
                     86,                0.74609,                0.42961,                0.96012,                0.84721,                0.79755,                 0.8777,                0.59561,                 1.1877,                0.71453,                 1.3124,              0.0011684,              0.0011684,              0.0011684
                     87,                0.75699,                0.43833,                0.97207,                0.82833,                0.81929,                0.86571,                0.58827,                 1.1965,                0.71019,                 1.3271,              0.0011585,              0.0011585,              0.0011585
                     88,                0.80231,                0.45194,                 0.9979,                0.89191,                0.76236,                0.85989,                0.56838,                 1.1934,                0.74401,                 1.3268,              0.0011486,              0.0011486,              0.0011486
                     89,                0.76111,                0.42819,                0.96689,                0.83958,                0.78533,                0.86195,                0.57294,                 1.1908,                0.75447,                 1.3174,              0.0011387,              0.0011387,              0.0011387
                     90,                0.76707,                0.42265,                0.96198,                0.82743,                 0.7962,                0.85871,                0.56624,                 1.2067,                0.73443,                 1.3457,              0.0011288,              0.0011288,              0.0011288
                     91,                0.77152,                0.43012,                0.96338,                0.84351,                0.81291,                0.86082,                 0.5704,                  1.208,                0.72303,                 1.3523,              0.0011189,              0.0011189,              0.0011189
                     92,                0.73889,                0.42633,                0.96686,                0.85494,                0.81679,                 0.8683,                0.57145,                  1.198,                 0.7056,                 1.3526,               0.001109,               0.001109,               0.001109
                     93,                0.72774,                0.41807,                0.94471,                0.84485,                0.81384,                0.86836,                0.57059,                 1.1884,                0.72353,                 1.3427,              0.0010991,              0.0010991,              0.0010991
                     94,                0.75827,                0.42132,                0.96967,                0.84694,                0.81198,                0.86892,                0.57021,                 1.2273,                0.72278,                 1.3758,              0.0010892,              0.0010892,              0.0010892
                     95,                0.72265,                0.41691,                0.95498,                0.84869,                0.79258,                0.85588,                0.56599,                 1.2441,                0.74393,                 1.4014,              0.0010793,              0.0010793,              0.0010793
                     96,                0.76842,                0.43317,                 0.9626,                0.87426,                0.78409,                 0.8587,                0.56895,                 1.2392,                 0.7263,                  1.377,              0.0010694,              0.0010694,              0.0010694
                     97,                0.76402,                0.42589,                0.95433,                0.84831,                0.77503,                0.85044,                0.56032,                 1.2487,                0.76569,                 1.3776,              0.0010595,              0.0010595,              0.0010595
                     98,                0.76993,                0.43022,                0.95885,                0.85434,                0.78397,                 0.8427,                0.55661,                   1.22,                0.76616,                 1.3587,              0.0010496,              0.0010496,              0.0010496
                     99,                0.73825,                0.41117,                0.94771,                0.86656,                0.78804,                0.86048,                0.57192,                 1.2159,                0.72412,                 1.3627,              0.0010397,              0.0010397,              0.0010397
                    100,                0.75019,                0.42558,                0.95074,                0.84339,                 0.7962,                0.85564,                0.56639,                 1.2265,                0.74335,                 1.3594,              0.0010298,              0.0010298,              0.0010298
                    101,                0.72635,                0.41362,                0.95154,                0.83063,                0.79484,                 0.8569,                0.57406,                 1.1952,                0.71928,                 1.3137,              0.0010199,              0.0010199,              0.0010199
                    102,                0.73654,                0.41829,                0.95834,                 0.8339,                0.81171,                0.86626,                0.57338,                 1.1923,                0.72456,                 1.3066,                0.00101,                0.00101,                0.00101
                    103,                0.70792,                0.40022,                0.95589,                 0.8282,                0.82473,                0.86533,                0.57648,                 1.1837,                0.71422,                 1.3055,              0.0010001,              0.0010001,              0.0010001
                    104,                0.70871,                 0.4007,                0.94319,                0.84097,                0.76159,                0.85145,                0.56955,                 1.2125,                0.76479,                  1.343,              0.0009902,              0.0009902,              0.0009902
                    105,                0.69719,                0.39083,                0.93395,                0.85553,                0.77717,                0.85388,                0.57798,                  1.209,                0.74266,                 1.3461,              0.0009803,              0.0009803,              0.0009803
                    106,                0.70092,                0.39724,                0.93451,                0.89015,                0.78168,                0.87364,                0.58797,                 1.1854,                0.71018,                 1.3285,              0.0009704,              0.0009704,              0.0009704
                    107,                0.72774,                0.40465,                0.93944,                0.83848,                0.81114,                0.85843,                 0.5786,                 1.2071,                0.73418,                 1.3519,              0.0009605,              0.0009605,              0.0009605
                    108,                0.69374,                 0.3863,                0.93104,                0.84873,                0.79212,                 0.8607,                0.57667,                 1.2037,                0.75211,                 1.3469,              0.0009506,              0.0009506,              0.0009506
                    109,                0.68529,                0.38392,                0.93539,                0.86543,                0.79212,                0.86281,                0.56834,                 1.1979,                0.73428,                 1.3408,              0.0009407,              0.0009407,              0.0009407
                    110,                0.66959,                0.38231,                0.92446,                0.83547,                0.81414,                0.86314,                0.57751,                 1.2092,                0.74811,                 1.3631,              0.0009308,              0.0009308,              0.0009308
                    111,                0.65264,                0.37745,                0.91919,                 0.8425,                0.78668,                0.86148,                0.57624,                 1.1972,                 0.7516,                 1.3555,              0.0009209,              0.0009209,              0.0009209
                    112,                0.68043,                0.39533,                0.93841,                0.85521,                0.77844,                0.85635,                0.56922,                  1.251,                0.74963,                 1.4015,               0.000911,               0.000911,               0.000911
                    113,                 0.6838,                0.38576,                0.93412,                0.82154,                0.79435,                0.84974,                0.56553,                 1.2629,                0.75748,                 1.3997,              0.0009011,              0.0009011,              0.0009011
                    114,                0.65873,                0.37254,                   0.93,                0.83787,                0.78639,                0.84654,                 0.5659,                  1.214,                0.75565,                 1.3576,              0.0008912,              0.0008912,              0.0008912
                    115,                0.69663,                0.38484,                0.94478,                0.85478,                0.79977,                0.86207,                0.57853,                 1.1764,                0.71726,                 1.3337,              0.0008813,              0.0008813,              0.0008813
                    116,                0.66769,                 0.3812,                0.92306,                0.84152,                0.80299,                0.86064,                0.57812,                 1.1993,                 0.7292,                 1.3519,              0.0008714,              0.0008714,              0.0008714
                    117,                0.68108,                0.38337,                0.94046,                0.86984,                0.77582,                  0.864,                 0.5855,                 1.1925,                 0.7304,                 1.3478,              0.0008615,              0.0008615,              0.0008615
                    118,                0.64089,                0.37091,                0.92212,                0.86969,                0.77446,                0.84538,                0.56207,                 1.2228,                0.76532,                 1.3762,              0.0008516,              0.0008516,              0.0008516
                    119,                0.66936,                0.37475,                0.91925,                0.85839,                0.80709,                0.85739,                0.56593,                 1.2116,                0.73184,                 1.3796,              0.0008417,              0.0008417,              0.0008417
                    120,                0.64965,                0.38106,                0.92681,                 0.8642,                 0.7962,                0.86866,                0.57483,                 1.1959,                0.73545,                 1.3775,              0.0008318,              0.0008318,              0.0008318
                    121,                0.69048,                0.37707,                0.93252,                0.85956,                0.80163,                0.86527,                0.57474,                 1.1976,                0.72294,                 1.3799,              0.0008219,              0.0008219,              0.0008219
                    122,                0.64634,                0.37127,                0.90857,                0.85375,                0.79313,                0.85413,                0.57432,                 1.2013,                0.72374,                 1.3855,               0.000812,               0.000812,               0.000812
                    123,                0.64135,                0.36039,                0.91149,                0.83631,                0.81915,                0.85738,                0.57859,                 1.2149,                0.72314,                 1.3897,              0.0008021,              0.0008021,              0.0008021
                    124,                0.67231,                0.37476,                0.92155,                 0.8433,                0.81162,                0.86359,                0.57497,                 1.2153,                0.71536,                 1.3669,              0.0007922,              0.0007922,              0.0007922
                    125,                0.66647,                0.37831,                0.92154,                0.87676,                 0.7731,                0.86043,                0.57236,                 1.2129,                0.72194,                 1.3689,              0.0007823,              0.0007823,              0.0007823
                    126,                0.64629,                0.36355,                0.92426,                0.81982,                0.81602,                0.84913,                0.56663,                 1.2193,                0.73623,                 1.3695,              0.0007724,              0.0007724,              0.0007724
                    127,                 0.6135,                 0.3493,                0.89778,                0.82851,                0.80738,                0.85715,                0.57127,                 1.2183,                0.73015,                 1.3922,              0.0007625,              0.0007625,              0.0007625
                    128,                0.62462,                0.35356,                0.90501,                0.84589,                0.81289,                0.87376,                0.58233,                 1.2054,                0.71128,                 1.3715,              0.0007526,              0.0007526,              0.0007526
                    129,                0.60128,                0.34526,                0.90004,                0.82096,                0.81793,                0.85639,                0.57108,                 1.2361,                0.73722,                 1.3957,              0.0007427,              0.0007427,              0.0007427
                    130,                0.60654,                0.35189,                0.89748,                0.85185,                0.79891,                0.86118,                0.57185,                 1.2286,                0.74075,                 1.3899,              0.0007328,              0.0007328,              0.0007328
                    131,                0.62011,                 0.3548,                0.91673,                0.87887,                0.79484,                0.86091,                0.57386,                 1.2354,                0.71984,                  1.401,              0.0007229,              0.0007229,              0.0007229
                    132,                0.63152,                0.36076,                0.90972,                0.87593,                0.78659,                0.85367,                0.57037,                 1.2267,                0.71839,                  1.394,               0.000713,               0.000713,               0.000713
                    133,                0.61284,                0.35705,                0.90715,                 0.8637,                0.80069,                0.86619,                0.57559,                 1.2305,                0.72783,                  1.387,              0.0007031,              0.0007031,              0.0007031
                    134,                0.61437,                0.34921,                 0.9008,                 0.8542,                0.81658,                 0.8649,                0.57311,                  1.216,                 0.7612,                 1.3591,              0.0006932,              0.0006932,              0.0006932
                    135,                0.63187,                0.35448,                0.92223,                0.83734,                0.81114,                0.86297,                0.58101,                  1.208,                0.74513,                 1.3644,              0.0006833,              0.0006833,              0.0006833
                    136,                0.58535,                0.33855,                0.90056,                0.83149,                0.83801,                0.85831,                0.57707,                 1.2048,                0.73452,                 1.3763,              0.0006734,              0.0006734,              0.0006734
                    137,                0.62333,                0.36766,                0.91744,                0.82632,                0.82065,                0.85336,                0.57416,                  1.239,                0.74224,                 1.4158,              0.0006635,              0.0006635,              0.0006635
                    138,                0.60379,                0.35057,                0.89768,                0.82783,                0.82314,                0.85463,                0.56895,                 1.2463,                0.73301,                 1.4325,              0.0006536,              0.0006536,              0.0006536
                    139,                0.59787,                0.34577,                0.89206,                0.86401,                0.79891,                0.85858,                0.57001,                 1.2367,                0.73751,                 1.4241,              0.0006437,              0.0006437,              0.0006437
                    140,                0.58597,                0.33509,                0.88967,                0.86316,                0.78847,                0.85294,                0.55992,                 1.2343,                0.75335,                  1.409,              0.0006338,              0.0006338,              0.0006338
                    141,                0.57304,                0.32707,                0.89084,                0.86005,                 0.7894,                0.86338,                0.56654,                 1.2324,                0.74716,                 1.4062,              0.0006239,              0.0006239,              0.0006239
                    142,                0.60244,                0.34205,                0.91274,                0.84384,                0.80163,                0.87042,                0.57436,                 1.2234,                0.74302,                 1.3999,               0.000614,               0.000614,               0.000614
                    143,                0.58898,                0.34368,                0.90329,                 0.8715,                0.78533,                0.86645,                 0.5772,                 1.2099,                0.74272,                 1.3829,              0.0006041,              0.0006041,              0.0006041
                    144,                0.58841,                0.34624,                0.89597,                0.84097,                0.82625,                0.85722,                0.56788,                 1.1991,                0.72959,                 1.3834,              0.0005942,              0.0005942,              0.0005942
