                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.022,                0.65073,                 1.1071,                0.84431,                0.77176,                0.84774,                0.56515,                 1.1603,                0.79215,                 1.2754,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0159,                0.65285,                 1.0798,                0.85455,                0.78941,                0.87076,                 0.5766,                 1.1389,                0.75198,                 1.2677,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0096,                0.63329,                 1.1077,                0.86034,                0.77882,                0.87528,                0.57487,                 1.1734,                0.73661,                  1.297,              0.0016535,              0.0016535,              0.0016535
                     38,                0.99367,                0.63035,                 1.0965,                0.85708,                0.79412,                0.87595,                0.56624,                 1.1923,                 0.7593,                 1.3105,              0.0016436,              0.0016436,              0.0016436
                     39,                0.97813,                0.61642,                 1.0832,                0.89191,                0.74752,                0.86913,                0.56861,                 1.1687,                0.77153,                 1.2773,              0.0016337,              0.0016337,              0.0016337
                     40,                0.99914,                0.63184,                 1.0858,                0.82639,                   0.78,                0.84625,                0.54222,                  1.168,                0.81539,                 1.2887,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0046,                0.65259,                 1.0852,                0.80876,                0.78471,                0.86005,                0.54818,                  1.168,                 0.8146,                 1.2765,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0029,                0.64682,                 1.0924,                 0.8332,                0.80513,                 0.8847,                0.58022,                 1.1437,                0.75495,                 1.2592,               0.001604,               0.001604,               0.001604
                     43,                 1.0285,                0.67268,                 1.0922,                 0.8594,                0.79294,                0.88245,                0.57766,                  1.152,                0.78573,                 1.2486,              0.0015941,              0.0015941,              0.0015941
                     44,                0.95812,                0.62584,                  1.057,                 0.8558,                0.77502,                0.86923,                0.57687,                  1.151,                0.77596,                 1.2662,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94408,                0.58996,                 1.0546,                0.84173,                0.75294,                0.83701,                0.53815,                 1.2271,                0.83854,                 1.3341,              0.0015743,              0.0015743,              0.0015743
                     46,                0.92896,                0.57692,                 1.0443,                0.85412,                0.78525,                0.86948,                0.56698,                 1.2121,                0.78416,                 1.3198,              0.0015644,              0.0015644,              0.0015644
                     47,                0.94161,                0.58395,                 1.0506,                0.82662,                0.78118,                0.85946,                 0.5675,                 1.1865,                0.80694,                 1.2899,              0.0015545,              0.0015545,              0.0015545
                     48,                0.95365,                0.61042,                 1.0625,                 0.8187,                0.79156,                0.87126,                0.57007,                 1.1741,                0.79171,                 1.2909,              0.0015446,              0.0015446,              0.0015446
                     49,                0.93852,                0.58913,                 1.0609,                0.85245,                0.78941,                0.87528,                0.58134,                 1.1559,                0.75427,                 1.2997,              0.0015347,              0.0015347,              0.0015347
                     50,                0.93797,                0.55497,                  1.051,                0.81958,                0.81059,                0.87487,                0.58005,                 1.1516,                0.73803,                 1.2769,              0.0015248,              0.0015248,              0.0015248
                     51,                 0.9021,                0.54251,                 1.0416,                0.84184,                0.79525,                0.87542,                0.58258,                 1.1475,                0.73136,                 1.2866,              0.0015149,              0.0015149,              0.0015149
                     52,                0.92513,                0.55963,                   1.04,                0.79015,                0.77176,                0.83121,                0.55029,                 1.1553,                0.85166,                 1.2745,               0.001505,               0.001505,               0.001505
                     53,                0.91354,                0.55509,                 1.0416,                 0.8616,                0.75437,                0.85859,                0.55537,                 1.1958,                0.79781,                 1.3146,              0.0014951,              0.0014951,              0.0014951
                     54,                0.92931,                0.54287,                 1.0491,                0.85885,                0.75165,                0.85633,                0.55412,                 1.1924,                0.78424,                 1.3166,              0.0014852,              0.0014852,              0.0014852
                     55,                0.89455,                0.54058,                 1.0312,                0.83994,                0.81412,                 0.8812,                0.57453,                 1.1514,                0.75459,                 1.2819,              0.0014753,              0.0014753,              0.0014753
                     56,                0.88659,                0.54565,                  1.034,                0.86356,                0.79672,                0.88537,                0.59081,                  1.177,                0.71882,                  1.308,              0.0014654,              0.0014654,              0.0014654
                     57,                0.91246,                0.52824,                 1.0298,                0.88252,                0.77772,                 0.8691,                0.56681,                 1.2152,                0.75588,                 1.3357,              0.0014555,              0.0014555,              0.0014555
                     58,                0.90605,                0.51876,                  1.038,                0.86645,                 0.7862,                 0.8726,                0.57802,                 1.1836,                0.73593,                 1.3106,              0.0014456,              0.0014456,              0.0014456
                     59,                0.90794,                0.52706,                 1.0279,                0.83377,                0.80706,                0.86194,                0.56939,                 1.1668,                0.75481,                 1.2921,              0.0014357,              0.0014357,              0.0014357
                     60,                0.89927,                0.54399,                 1.0414,                0.83375,                0.80829,                0.86261,                0.57187,                 1.1955,                0.74787,                 1.3079,              0.0014258,              0.0014258,              0.0014258
                     61,                 0.8863,                0.51885,                 1.0275,                0.84454,                 0.8181,                0.88247,                0.59651,                 1.1513,                0.70906,                 1.2819,              0.0014159,              0.0014159,              0.0014159
                     62,                0.88465,                0.51965,                 1.0172,                0.87052,                0.80706,                0.88864,                0.58814,                 1.1596,                0.71297,                  1.288,               0.001406,               0.001406,               0.001406
                     63,                0.87032,                0.51428,                 1.0148,                0.87409,                0.78706,                0.88627,                0.58642,                 1.1675,                 0.7289,                 1.3005,              0.0013961,              0.0013961,              0.0013961
                     64,                0.87839,                0.53016,                 1.0191,                0.83095,                    0.8,                0.87277,                0.58184,                 1.1549,                0.76231,                 1.3022,              0.0013862,              0.0013862,              0.0013862
                     65,                0.85051,                0.51206,                 1.0043,                0.86132,                0.75529,                 0.8656,                0.57442,                 1.1682,                0.76027,                 1.2933,              0.0013763,              0.0013763,              0.0013763
                     66,                0.84894,                0.49229,                0.99859,                0.85445,                0.78735,                0.86172,                0.56361,                 1.1781,                0.77921,                 1.3232,              0.0013664,              0.0013664,              0.0013664
                     67,                 0.8458,                0.49129,                 1.0193,                 0.8487,                0.79851,                0.86399,                0.57741,                 1.1772,                0.74957,                 1.3217,              0.0013565,              0.0013565,              0.0013565
                     68,                  0.837,                0.48116,                 1.0039,                0.87204,                0.78573,                0.87825,                0.59066,                 1.1846,                0.76235,                 1.3219,              0.0013466,              0.0013466,              0.0013466
                     69,                0.84432,                0.50223,                 1.0002,                0.86433,                0.80945,                0.88094,                0.58991,                 1.1728,                0.74114,                 1.3063,              0.0013367,              0.0013367,              0.0013367
                     70,                0.83612,                0.48077,                0.98959,                0.86971,                0.76706,                0.87189,                0.58134,                 1.1813,                0.76861,                 1.3143,              0.0013268,              0.0013268,              0.0013268
                     71,                0.83058,                0.48205,                 1.0048,                0.85861,                0.78706,                0.86879,                0.58307,                 1.1787,                0.76443,                 1.3103,              0.0013169,              0.0013169,              0.0013169
                     72,                0.85259,                 0.5099,                 1.0066,                0.86416,                0.79059,                0.86626,                0.56698,                 1.1843,                0.76068,                 1.3138,               0.001307,               0.001307,               0.001307
                     73,                0.82206,                0.48447,                0.99602,                0.88536,                0.79047,                0.87473,                0.57822,                 1.1759,                0.72719,                 1.3137,              0.0012971,              0.0012971,              0.0012971
                     74,                0.84821,                0.48548,                 1.0048,                0.86035,                0.78118,                0.87621,                0.57564,                  1.179,                0.73612,                 1.2974,              0.0012872,              0.0012872,              0.0012872
