                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6836,                0.77104,                 1.0837,                0.90522,                0.86043,                0.93598,                0.52934,                 1.5314,                0.72567,                 1.0563,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.6729,                0.77118,                 1.0823,                0.91173,                0.85561,                0.93895,                0.53049,                 1.5408,                0.71053,                 1.0588,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6729,                0.77232,                 1.0838,                0.90766,                0.85016,                0.93207,                0.51751,                 1.5556,                0.73793,                 1.0656,              0.0016535,              0.0016535,              0.0016535
                     38,                  1.674,                0.76639,                 1.0792,                0.90166,                0.86682,                0.93738,                0.53347,                 1.5345,                 0.7159,                  1.051,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.6596,                0.76364,                 1.0792,                0.90035,                0.86078,                0.93139,                0.50997,                 1.5469,                0.75114,                 1.0632,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.6563,                0.76191,                 1.0776,                0.90922,                0.86624,                0.94119,                0.52001,                 1.5621,                0.71057,                  1.062,              0.0016238,              0.0016238,              0.0016238
                     41,                  1.664,                0.76097,                 1.0785,                0.91259,                 0.8691,                0.94348,                0.53144,                 1.5471,                0.70766,                 1.0575,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.6642,                0.75756,                 1.0777,                0.91691,                0.87139,                0.94524,                0.53208,                 1.5322,                0.69389,                 1.0511,               0.001604,               0.001604,               0.001604
                     43,                 1.6816,                 0.7676,                 1.0784,                 0.8852,                0.87198,                0.93125,                0.50614,                 1.6114,                0.75824,                 1.0695,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.6465,                0.76115,                 1.0751,                0.90414,                0.86089,                0.93464,                0.52186,                 1.5481,                0.70997,                 1.0564,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.6418,                0.74908,                 1.0764,                0.90483,                 0.8754,                0.94134,                0.51153,                 1.6148,                0.72802,                 1.0754,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.6474,                0.75432,                  1.078,                 0.8964,                0.86616,                0.93515,                0.53015,                 1.5383,                0.73167,                 1.0481,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.6574,                0.76144,                 1.0798,                0.89914,                 0.8726,                0.93463,                0.51895,                 1.5667,                0.72958,                 1.0733,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.6567,                0.75911,                 1.0805,                0.91579,                 0.8728,                0.94519,                0.54194,                 1.5142,                0.68828,                 1.0472,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.6428,                 0.7515,                 1.0767,                 0.9091,                0.87199,                0.94106,                0.53239,                 1.5311,                0.70068,                 1.0536,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.6522,                0.75655,                 1.0724,                0.91354,                0.86757,                0.94057,                0.52012,                 1.5756,                0.71026,                 1.0654,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.6386,                0.75002,                 1.0685,                0.90304,                0.88113,                0.94192,                0.52927,                 1.5543,                0.71045,                 1.0633,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.6347,                0.74768,                 1.0673,                0.91169,                0.87343,                0.94223,                0.52322,                 1.5356,                0.70051,                 1.0578,               0.001505,               0.001505,               0.001505
                     53,                 1.6302,                 0.7489,                 1.0714,                0.90961,                0.87839,                0.94208,                0.53023,                 1.5301,                0.69483,                 1.0509,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.6275,                0.74374,                 1.0701,                0.90885,                0.87788,                0.94601,                 0.5517,                 1.4817,                0.69068,                 1.0379,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.6369,                0.74871,                  1.074,                0.90727,                0.87017,                0.94053,                0.53146,                 1.5191,                0.69525,                 1.0525,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.6265,                0.74661,                 1.0716,                0.90933,                0.86598,                0.93939,                0.52994,                 1.5235,                0.68948,                 1.0454,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.6369,                0.74486,                 1.0703,                0.90773,                0.88052,                0.94558,                0.55005,                 1.4903,                0.68478,                 1.0402,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.6256,                0.74394,                 1.0675,                0.90886,                0.86939,                0.94036,                0.51554,                 1.5517,                0.68629,                 1.0643,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.6181,                0.74073,                 1.0735,                0.91291,                0.87702,                0.94749,                0.54618,                 1.4812,                0.67762,                 1.0401,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.6419,                0.73994,                 1.0723,                0.90837,                0.88487,                0.94759,                0.54704,                 1.4844,                0.68056,                 1.0394,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.6084,                0.72963,                 1.0621,                  0.915,                0.88277,                0.94941,                0.55325,                 1.4834,                0.66793,                 1.0412,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.6201,                0.74008,                 1.0664,                0.90345,                0.86468,                0.94159,                0.52335,                  1.539,                0.70793,                 1.0624,               0.001406,               0.001406,               0.001406
                     63,                 1.6277,                0.73345,                 1.0674,                0.91283,                0.87374,                0.94426,                0.52843,                 1.5338,                0.68319,                 1.0613,              0.0013961,              0.0013961,              0.0013961
