                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0969,                0.78687,                 1.1229,                0.82945,                0.69158,                0.81949,                0.51106,                 1.2428,                0.98927,                 1.2509,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0965,                0.79447,                 1.1074,                0.78941,                0.73851,                0.82289,                0.52922,                 1.1774,                 0.9441,                 1.2015,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0898,                0.77805,                 1.1288,                0.81247,                0.77113,                 0.8467,                0.55099,                 1.1608,                0.87666,                 1.1931,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0792,                0.75541,                 1.1125,                0.81944,                0.79542,                0.86583,                0.55896,                 1.2028,                0.86959,                 1.2165,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0775,                0.75651,                  1.114,                0.83176,                0.74185,                0.83769,                0.52077,                 1.2252,                0.94121,                 1.2345,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.0756,                0.78396,                 1.1117,                0.80822,                0.75009,                0.83329,                0.51983,                  1.222,                 0.9619,                 1.2498,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.1057,                0.81084,                 1.1277,                0.79189,                 0.7731,                0.83227,                0.51783,                  1.219,                0.94698,                  1.251,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0634,                0.76851,                 1.1083,                0.79364,                0.74203,                0.82009,                0.51213,                 1.2233,                0.95565,                 1.2529,               0.001604,               0.001604,               0.001604
                     43,                 1.0923,                0.76997,                 1.1028,                0.84009,                0.75662,                0.84781,                0.54965,                  1.193,                 0.8657,                 1.2244,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0537,                 0.7323,                 1.0841,                0.83504,                 0.7731,                0.85838,                0.55126,                 1.1869,                0.84382,                 1.2083,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.0409,                0.71977,                 1.0856,                0.82845,                0.75679,                0.83706,                0.54213,                 1.1913,                0.85217,                 1.2338,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.0146,                 0.7085,                 1.0733,                0.82978,                0.76359,                0.84659,                0.55181,                 1.1702,                0.87838,                 1.2104,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.0171,                0.69959,                 1.0757,                0.81297,                0.77366,                0.84449,                0.54481,                 1.2047,                0.85366,                 1.2351,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.0549,                0.73067,                 1.0996,                0.79155,                0.78939,                0.84105,                0.54635,                 1.1902,                 0.8637,                 1.2304,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.0394,                0.71752,                 1.0976,                0.79896,                0.75136,                0.82965,                 0.5268,                 1.2096,                0.96271,                 1.2602,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.0307,                0.68319,                 1.0796,                0.81034,                0.77789,                0.85708,                0.55029,                 1.2215,                0.86725,                 1.2515,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.0029,                0.67396,                 1.0784,                0.81422,                0.78397,                0.86035,                0.55442,                 1.1941,                0.85179,                 1.2287,              0.0015149,              0.0015149,              0.0015149
                     52,                   1.03,                  0.687,                 1.0778,                0.80718,                0.77356,                0.83663,                0.53872,                 1.1972,                0.89268,                 1.2222,               0.001505,               0.001505,               0.001505
                     53,                 1.0169,                0.67806,                 1.0774,                0.84033,                0.74185,                0.82165,                0.51012,                 1.2304,                0.91421,                 1.2573,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.0181,                0.66536,                 1.0747,                0.80717,                0.79053,                0.83547,                 0.5386,                 1.2036,                0.85067,                 1.2447,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.0024,                0.65997,                  1.066,                0.81366,                0.78907,                0.84882,                0.54834,                 1.1904,                 0.8514,                 1.2272,              0.0014753,              0.0014753,              0.0014753
                     56,                0.98481,                0.68928,                 1.0615,                 0.8044,                0.73641,                 0.7944,                0.49137,                 1.2442,                0.95309,                 1.2697,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.0152,                0.65758,                 1.0623,                0.81385,                0.80842,                0.84416,                0.54448,                 1.1927,                0.80996,                 1.2349,              0.0014555,              0.0014555,              0.0014555
                     58,                0.99874,                 0.6368,                 1.0679,                0.83567,                0.77387,                0.86078,                0.55546,                 1.2275,                0.83271,                 1.2735,              0.0014456,              0.0014456,              0.0014456
                     59,                0.98625,                0.63409,                 1.0516,                0.81997,                0.77974,                0.85227,                0.54432,                 1.1908,                0.85377,                 1.2367,              0.0014357,              0.0014357,              0.0014357
                     60,                 0.9802,                0.65745,                 1.0635,                0.84037,                0.76902,                0.85057,                0.53701,                 1.2287,                0.83488,                 1.2714,              0.0014258,              0.0014258,              0.0014258
                     61,                0.96931,                0.62755,                  1.055,                0.82385,                0.77527,                0.84622,                0.55082,                 1.2396,                0.84747,                 1.2564,              0.0014159,              0.0014159,              0.0014159
                     62,                0.99195,                0.64139,                 1.0553,                0.82624,                0.77989,                0.86227,                 0.5642,                 1.1954,                0.83264,                 1.2257,               0.001406,               0.001406,               0.001406
                     63,                0.97362,                0.63556,                 1.0509,                0.82122,                0.78016,                0.86261,                 0.5602,                 1.2137,                0.84595,                 1.2486,              0.0013961,              0.0013961,              0.0013961
                     64,                0.97777,                0.62934,                 1.0559,                0.82535,                0.82184,                0.87297,                0.56193,                  1.213,                0.78434,                 1.2326,              0.0013862,              0.0013862,              0.0013862
                     65,                0.96196,                0.61902,                 1.0472,                0.81904,                0.78714,                0.85792,                0.55427,                 1.2007,                0.83541,                 1.2351,              0.0013763,              0.0013763,              0.0013763
                     66,                0.96129,                0.62137,                  1.038,                0.84909,                0.77214,                0.86786,                0.57128,                 1.1754,                0.80649,                 1.2096,              0.0013664,              0.0013664,              0.0013664
                     67,                0.95545,                0.62028,                 1.0539,                0.79791,                0.79348,                0.85894,                0.55717,                 1.1973,                0.81798,                 1.2301,              0.0013565,              0.0013565,              0.0013565
                     68,                0.95499,                0.60925,                 1.0448,                0.84371,                0.77853,                0.87205,                0.56989,                 1.1628,                  0.774,                 1.2067,              0.0013466,              0.0013466,              0.0013466
                     69,                0.96406,                0.59707,                 1.0411,                0.81019,                0.81793,                0.86836,                0.57656,                  1.147,                0.76646,                    1.2,              0.0013367,              0.0013367,              0.0013367
